adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/4wVq9ICc4MI2XcssrumpCOhKLpI.jpg,"[10765, 10759, 18]",4604,['US'],en,Smallville,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,125.5753,/mHZSq8LA5Dt48JjaOZ5tcPXQRVN.jpg,2001-10-16,False,Smallville,8.191,4489
False,/or0E36KfzJYZwqXeiCfm1JgepKF.jpg,[18],37680,['US'],en,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",125.2566,/vQiryp6LioFxQThywxbC6TuoDjy.jpg,2011-06-23,False,Suits,8.221,5753
False,/mAXOCbZzvmDa6PCh5dcIPOB51Qc.jpg,"[80, 10765]",63174,['US'],en,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",123.1676,/ekZobS8isE6mA53RAiGDG93hBxL.jpg,2016-01-25,False,Lucifer,8.433,15518
False,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,[35],1668,['US'],en,Friends,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",121.8437,/2koX1xLkpTQM4IZebYvKysFW1Nh.jpg,1994-09-22,False,Friends,8.418,9162
False,/iixxhk3ycXmFqBn616pAsC3lu53.jpg,"[16, 35]",1433,['US'],en,American Dad!,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",119.9118,/eb9sH2am9IUSQ8GhXTNAVoujk8W.jpg,2005-02-06,False,American Dad!,7.007,2381
False,/wAFuDJfZJrnh6a1wf1Vt7PqYBvR.jpg,"[80, 18, 10759]",1412,['US'],en,Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",129.9512,/u8ZHFj1jC384JEkTt3vNg1DfWEb.jpg,2012-10-10,False,Arrow,6.835,6357
False,/GN2KFXiHPVV6sIw4v2P2pqCJty.jpg,[18],85552,['US'],en,Euphoria,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",119.2513,/ypmtwojDd751Peszi62DVLytqqC.jpg,2019-06-16,False,Euphoria,8.285,10898
False,/gFkHcIh7iE5G0oVOgpmY8ONQjhl.jpg,"[18, 10765]",60735,['US'],en,The Flash,"After being struck by lightning, CSI investigator Barry Allen awakens from a nine-month coma to discover he has been  granted the gift of super speed.  Teaming up with S.T.A.R. Labs, Barry takes on the persona of The Flash, the Fastest  Man Alive, to protect his city.",114.6493,/yZevl2vHQgmosfwUdVNzviIfaWS.jpg,2014-10-07,False,The Flash,7.758,11638
False,/nO7EzksrBzlNpAg5rgv8HzaBIkx.jpg,[35],1421,['US'],en,Modern Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",110.8487,/k5Qg5rgPoKdh3yTJJrLtyoyYGwC.jpg,2009-09-23,False,Modern Family,7.912,3388
False,/3q7cCjq2cEcYjuOIpL46n11l1Gs.jpg,[99],1966,['GB'],en,Horizon,"Horizon tells amazing science stories, unravels mysteries and reveals worlds you've never seen before.",105.287,/uX8pic7asQBdnwMB9QjPvTsn1Dw.jpg,1964-02-04,False,Horizon,7.397,34
